
# Curve 0 of 1, 2000 points
# Curve title: "'gr_OO_exp_skinner2013_new.dat' u 4:($5*0.5*(tanh(30.0*($4-2.45))+1))"
# x y type
 0  0  o
 0.01  0  o
 0.02  0  o
 0.03  0  o
 0.04  0  o
 0.05  0  o
 0.06  0  o
 0.07  0  o
 0.08  0  o
 0.09  0  o
 0.1  0  o
 0.11  0  o
 0.12  0  o
 0.13  0  o
 0.14  0  o
 0.15  0  o
 0.16  0  o
 0.17  0  o
 0.18  0  o
 0.19  0  o
 0.2  0  o
 0.21  0  o
 0.22  0  o
 0.23  0  o
 0.24  0  o
 0.25  0  o
 0.26  0  o
 0.27  0  o
 0.28  0  o
 0.29  0  o
 0.3  0  o
 0.31  0  o
 0.32  0  o
 0.33  0  o
 0.34  0  o
 0.35  0  o
 0.36  0  o
 0.37  0  o
 0.38  0  o
 0.39  0  o
 0.4  0  o
 0.41  0  o
 0.42  0  o
 0.43  0  o
 0.44  0  o
 0.45  0  o
 0.46  0  o
 0.47  0  o
 0.48  0  o
 0.49  0  o
 0.5  0  o
 0.51  0  o
 0.52  0  o
 0.53  0  o
 0.54  0  o
 0.55  0  o
 0.56  0  o
 0.57  0  o
 0.58  0  o
 0.59  0  o
 0.6  0  o
 0.61  0  o
 0.62  0  o
 0.63  0  o
 0.64  0  o
 0.65  0  o
 0.66  0  o
 0.67  0  o
 0.68  0  o
 0.69  0  o
 0.7  0  o
 0.71  0  o
 0.72  0  o
 0.73  0  o
 0.74  0  o
 0.75  0  o
 0.76  0  o
 0.77  0  o
 0.78  0  o
 0.79  0  o
 0.8  0  o
 0.81  0  o
 0.82  0  o
 0.83  0  o
 0.84  0  o
 0.85  0  o
 0.86  0  o
 0.87  0  o
 0.88  0  o
 0.89  0  o
 0.9  0  o
 0.91  0  o
 0.92  0  o
 0.93  0  o
 0.94  0  o
 0.95  0  o
 0.96  0  o
 0.97  0  o
 0.98  0  o
 0.99  0  o
 1  0  o
 1.01  0  o
 1.02  0  o
 1.03  0  o
 1.04  0  o
 1.05  0  o
 1.06  0  o
 1.07  0  o
 1.08  0  o
 1.09  0  o
 1.1  0  o
 1.11 -0  o
 1.12 -0  o
 1.13 -0  o
 1.14 -0  o
 1.15 -0  o
 1.16 -0  o
 1.17 -0  o
 1.18 -0  o
 1.19 -0  o
 1.2 -0  o
 1.21 -0  o
 1.22 -0  o
 1.23 -0  o
 1.24 -0  o
 1.25 -0  o
 1.26 -0  o
 1.27 -0  o
 1.28 -0  o
 1.29 -0  o
 1.3 -0  o
 1.31  0  o
 1.32  0  o
 1.33  0  o
 1.34  0  o
 1.35  0  o
 1.36  0  o
 1.37  0  o
 1.38  0  o
 1.39  0  o
 1.4  0  o
 1.41  0  o
 1.42  0  o
 1.43  0  o
 1.44  0  o
 1.45  0  o
 1.46  0  o
 1.47  0  o
 1.48  0  o
 1.49  0  o
 1.5 -0  o
 1.51 -0  o
 1.52 -0  o
 1.53 -0  o
 1.54 -0  o
 1.55 -0  o
 1.56 -0  o
 1.57 -0  o
 1.58 -0  o
 1.59 -0  o
 1.6 -0  o
 1.61 -0  o
