#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 12.382726; 25.210161982364
2.04; 13.080362; 51.840649291935
4.07; 15.102861; 82.588771510495
6.11; 18.250982; 119.74619487465
8.14; 22.230131; 165.00482360225
10.18; 26.698578; 219.3608251573
12.22; 31.320634; 283.12693224596
14.25; 35.814227; 356.0416078914
16.29; 39.983801; 437.44517500261
18.32; 43.733007; 526.48180219509
20.36; 47.056538; 622.28485298122
22.40; 50.015276; 724.11163877098
24.43; 52.702575; 831.40953348882
26.47; 55.210904; 943.81416954509
28.50; 57.606882; 1061.0968091059
30.54; 59.919462; 1183.0876628135
32.57; 62.141742; 1309.6028864207
34.61; 64.24299; 1440.3960693174
36.65; 66.185242; 1575.1435096044
38.68; 67.938694; 1713.4608277501
40.72; 69.491887; 1854.9403113537
42.75; 70.855345; 1999.1956778321
44.79; 72.059763; 2145.9031356971
46.83; 73.151023; 2294.8323048562
48.86; 74.184128; 2445.8647869071
50.90; 75.216938; 2598.9999814589
52.93; 76.303358; 2754.3470335319
54.97; 77.485241; 2912.1002962932
57.01; 78.783109; 3072.495907366
59.04; 80.187519; 3235.7507763758
61.08; 81.654487; 3401.9922648304
63.11; 83.108807; 3571.1946238213
65.15; 84.457566; 3743.142940134
67.19; 85.612865; 3917.4433447962
69.22; 86.518801; 4093.5881577503
71.26; 87.174728; 4271.0683795011
73.29; 87.646202; 4449.5084817178
75.33; 88.057649; 4628.7862552892
77.36; 88.566024; 4809.0990363667
79.40; 89.321126; 4990.9491400163
81.44; 90.42343; 5175.0434395389
83.47; 91.892321; 5362.1282749139
85.51; 93.655459; 5552.8027075726
87.54; 95.56405; 5747.3628664362
89.58; 97.430865; 5945.7236997345
91.62; 99.080504; 6147.4430545245
93.65; 100.39711; 6351.8429094487
95.69; 101.35511; 6558.1931634505
97.72; 102.02344; 6765.9040827851
99.76; 102.54199; 6974.6707310684
101.80; 103.07751; 7184.5276540811
103.83; 103.77288; 7395.8002915542
105.87; 104.70579; 7608.9722491182
107.90; 105.86994; 7824.514312783
109.94; 107.18477; 8042.7332480487
111.98; 108.53041; 8263.6918014304
114.01; 109.79632; 8487.2276385634
116.05; 110.92702; 8713.0654712868
118.08; 111.94902; 8940.9840110529
120.12; 112.96864; 9170.9784215146
122.15; 114.13973; 9403.3570681937
124.19; 115.61052; 9638.7301093909
126.23; 117.46645; 9877.8816714557
128.26; 119.68818; 10121.55647787
130.30; 122.14009; 10370.223154293
132.33; 124.59569; 10623.889222824
134.37; 126.79448; 10882.031839737
136.41; 128.51439; 11143.676041241
138.44; 129.63819; 11407.608208383
140.48; 130.19326; 11672.670447898
142.51; 130.35166; 11938.055171306
144.55; 130.38958; 12203.517105192
146.59; 130.61758; 12469.443218328
148.62; 131.30178; 12736.762309975
150.66; 132.59887; 13006.722162565
152.69; 134.52268; 13280.598730748
154.73; 136.95034; 13559.417807351
156.77; 139.66369; 13843.761019057
158.80; 142.41172; 14133.698993448
160.84; 144.97497; 14428.855523953
162.87; 147.21392; 14728.570358488
164.91; 149.09042; 15032.105590501
166.94; 150.66021; 15338.836777129
168.98; 152.04309; 15648.383390753
171.02; 153.38262; 15960.657159958
173.05; 154.8076; 16275.832074848
175.09; 156.4046; 16594.258339211
177.12; 158.20508; 16916.350220785
179.16; 160.18602; 17242.475123165
181.20; 162.2796; 17572.862387719
183.23; 164.38726; 17907.54065998
185.27; 166.39484; 18246.30618872
187.30; 168.18798; 18588.722409596
189.34; 169.66806; 18934.151940493
191.38; 170.76877; 19281.822417193
193.41; 171.47196; 19630.924521163
195.45; 171.81904; 19980.733254374
197.48; 171.9133; 20330.733888284
199.52; 171.90912; 20680.726024584
201.56; 171.98725; 21030.877226894
203.59; 172.31933; 21381.704511628
