#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 3.232483; 6.5810563238943
2.04; 3.2844544; 13.267922063341
4.07; 3.441724; 20.274975080859
6.11; 3.7068016; 27.821703182672
8.14; 4.0793806; 36.126970095006
10.18; 4.5517751; 45.393991356056
12.22; 5.1060182; 55.78940378341
14.25; 5.7144253; 67.423480531921
16.29; 6.3442201; 80.339765078719
18.32; 6.9652819; 94.520477895586
20.36; 7.5587349; 109.90940983848
22.40; 8.1234686; 126.44809090871
24.43; 8.6780267; 144.11580427134
26.47; 9.256574; 162.96139008618
28.50; 9.8994826; 183.11588228218
30.54; 10.640881; 204.77979748732
32.57; 11.496697; 228.18608105221
34.61; 12.456862; 253.54717746228
36.65; 13.484318; 281.00008596384
38.68; 14.521583; 310.5647760274
40.72; 15.50337; 342.12829913191
42.75; 16.371899; 375.46007271159
44.79; 17.090613; 410.25508541044
46.83; 17.652371; 446.19379015494
48.86; 18.079785; 483.00267185789
50.90; 18.417651; 520.49941956085
52.93; 18.719823; 558.61136369901
54.97; 19.034472; 597.3639061169
57.01; 19.392095; 636.84453728915
59.04; 19.799637; 677.15488882903
61.08; 20.242046; 718.36594810625
63.11; 20.690143; 760.48929308913
65.15; 21.111698; 803.47088874759
67.19; 21.481761; 847.20590051846
69.22; 21.78879; 891.5659956167
71.26; 22.034905; 936.42716006674
73.29; 22.230864; 981.68728123767
75.33; 22.388344; 1027.2680165558
77.36; 22.513056; 1073.1026548002
79.40; 22.601778; 1119.1179239909
81.44; 22.644674; 1165.2205264597
83.47; 22.632056; 1211.2974387991
85.51; 22.562798; 1257.2333481707
87.54; 22.450787; 1302.9412121518
89.58; 22.326353; 1348.3957408925
91.62; 22.23147; 1393.6570946739
93.65; 22.209812; 1438.8743543624
95.69; 22.29479; 1484.2646230857
97.72; 22.499515; 1530.0716943719
99.76; 22.812105; 1576.5151718311
101.80; 23.198007; 1623.7443118143
103.83; 23.608707; 1671.8096018079
105.87; 23.994229; 1720.6597820752
107.90; 24.31578; 1770.1646110436
109.94; 24.555085; 1820.156644412
111.98; 24.718181; 1870.4807275175
114.01; 24.833119; 1921.0388155925
116.05; 24.942668; 1971.8199347224
118.08; 25.094152; 2022.9094624984
120.12; 25.328939; 2074.4769954208
122.15; 25.673806; 2126.7466480646
124.19; 26.135837; 2179.9569567566
126.23; 26.701717; 2234.3193480627
128.26; 27.341514; 2289.9843105067
130.30; 28.016228; 2347.0229325798
132.33; 28.68756; 2405.4283290726
134.37; 29.327658; 2465.1369087433
136.41; 29.92626; 2526.0641915806
138.44; 30.492996; 2588.1452996546
140.48; 31.053697; 2651.3679471613
142.51; 31.641362; 2715.7870299356
144.55; 32.284264; 2781.5150056711
146.59; 32.994987; 2848.6899510447
148.62; 33.764223; 2917.4309957735
150.66; 34.561798; 2987.7958331342
152.69; 35.344901; 3059.7550010732
154.73; 36.070889; 3133.192217295
156.77; 36.710197; 3207.931011069
158.80; 37.25483; 3283.7786296233
160.84; 37.719566; 3360.5724098681
162.87; 38.135947; 3438.2139057064
164.91; 38.541968; 3516.6820257865
166.94; 38.972017; 3596.0256888589
168.98; 39.451203; 3676.3449327693
171.02; 39.995911; 3757.7731553642
173.05; 40.61922; 3840.4703808316
175.09; 41.337159; 3924.6292698588
177.12; 42.171001; 4010.4857878733
179.16; 43.142319; 4098.3198259045
181.20; 44.260976; 4188.4313529412
183.23; 45.509965; 4281.0857147183
185.27; 46.833591; 4376.434863241
187.30; 48.135422; 4474.4344288985
189.34; 49.289685; 4574.7839745696
191.38; 50.165072; 4676.9157326644
193.41; 50.65523; 4780.0454092958
195.45; 50.707161; 4883.2808133751
197.48; 50.338751; 4985.7661657639
199.52; 49.639622; 5086.8281525192
201.56; 48.7545; 5186.0881073501
203.59; 47.853417; 5283.5135344366
205.63; 47.096691; 5379.3983321754
207.66; 46.603573; 5474.2791847041
209.70; 46.431735; 5568.8101897668
211.74; 46.571246; 5663.6252269158
213.77; 46.952736; 5759.2169448472
215.81; 47.466289; 5855.8542118586
217.84; 47.985964; 5953.5494923404
219.88; 48.394714; 6052.0769540576
221.91; 48.605342; 6151.0332355138
223.95; 48.574394; 6249.926509471
225.99; 48.307178; 6348.2757547965
228.02; 47.853274; 6445.7008899318
230.06; 47.293268; 6541.9859023874
232.09; 46.71906; 6637.1018774163
234.13; 46.21178; 6731.1850736148
236.17; 45.822627; 6824.4759871006
238.20; 45.562007; 6917.236301894
240.24; 45.400756; 7009.6683224363
242.27; 45.284005; 7101.862648121
244.31; 45.154259; 7193.7928219537
246.35; 44.976712; 7285.3615253128
248.38; 44.758269; 7376.485497776
250.42; 44.552928; 7467.1914133567
252.45; 44.450089; 7557.6879578512
254.49; 44.547871; 7648.383579492
256.53; 44.918811; 7739.8344025897
258.56; 45.578541; 7832.6283779798
260.60; 46.467969; 7927.2331527986
262.63; 47.455943; 8023.8493562582
264.67; 48.363422; 8122.3131093052
266.70; 49.003717; 8222.0804477598
268.74; 49.228307; 8322.3050330027
270.78; 48.965811; 8421.9951972822
272.81; 48.243297; 8520.2143855909
274.85; 47.183871; 8616.2766746364
276.88; 45.980814; 8709.8896441109
278.92; 44.854778; 8801.2101015761
280.96; 44.004884; 8890.8002476828
282.99; 43.565978; 8979.4968180272
285.03; 43.5825; 9068.2270256957
287.06; 44.004992; 9157.81739128
289.10; 44.709401; 9248.8418736334
291.14; 45.533562; 9341.5442761567
293.17; 46.321001; 9435.8498363736
295.21; 46.960569; 9531.4575024604
297.24; 47.411773; 9627.9837806776
299.28; 47.709692; 9725.1165960445
301.32; 47.94898; 9822.7365810746
303.35; 48.252127; 9920.9737481937
305.39; 48.731347; 10020.186564165
307.42; 49.454951; 10120.872575263
309.46; 50.427498; 10223.538609528
311.49; 51.588765; 10328.568882894
313.53; 52.831048; 10436.128336797
315.57; 54.029103; 10546.12692764
317.60; 55.07369; 10658.252206679
319.64; 55.899158; 10772.058069029
321.67; 56.497806; 10887.08272582
323.71; 56.917929; 11002.962717641
325.75; 57.247277; 11119.513232907
327.78; 57.587426; 11236.756261414
329.82; 58.026527; 11354.893262107
331.85; 58.617525; 11474.233483584
333.89; 59.366769; 11595.099101771
335.93; 60.234814; 11717.731984415
337.96; 61.148099; 11842.224236491
340.00; 62.017926; 11968.487381517
342.03; 62.762051; 12096.265500181
344.07; 63.324256; 12225.188220102
346.11; 63.688186; 12354.851870386
348.14; 63.883111; 12484.912371575
350.18; 63.980862; 12615.171885455
352.21; 64.084714; 12745.642831458
354.25; 64.312342; 12876.57720968
356.28; 64.776005; 13008.455565483
358.32; 65.563573; 13141.937342477
360.36; 66.723903; 13277.781449957
362.39; 68.259152; 13416.751193428
364.43; 70.125254; 13559.52015775
366.46; 72.240086; 13706.594738311
368.50; 74.497484; 13858.265187154
370.54; 76.784307; 14014.59140989
372.57; 78.997633; 14175.42377216
374.61; 81.059596; 14340.454113663
376.64; 82.928161; 14509.28869236
378.68; 84.602888; 14681.532871638
380.72; 86.125301; 14856.8765525
382.75; 87.57376; 15035.169170033
384.79; 89.053023; 15216.473438679
386.82; 90.679158; 15401.088378842
388.86; 92.561298; 15589.535193278
390.90; 94.782779; 15782.504751454
392.93; 97.385138; 15980.772487564
394.97; 100.35869; 16185.094118009
397.00; 103.64266; 16396.101635115
399.04; 107.136; 16614.221290587
401.07; 110.71733; 16839.632222807
403.11; 114.26993; 17072.275943079
405.15; 117.70578; 17311.914755797
407.18; 120.98238; 17558.224441303
409.22; 124.10761; 17810.896828133
411.25; 127.13087; 18069.72430588
413.29; 130.12245; 18334.642385719
415.33; 133.14665; 18605.717466286
417.36; 136.23605; 18883.082296481
419.40; 139.37469; 19166.837136132
421.43; 142.49561; 19456.94589256
423.47; 145.49446; 19753.160062773
425.51; 148.25654; 20054.997576184
427.54; 150.69006; 20361.789540377
429.58; 152.75661; 20672.788806051
431.61; 154.4891; 20987.315279782
433.65; 155.99105; 21304.899602027
435.69; 157.41536; 21625.38369455
437.72; 158.92721; 21948.945769391
439.76; 160.66076; 22276.037215372
441.79; 162.68231; 22607.244359895
443.83; 164.97146; 22943.112017163
445.87; 167.4276; 23283.980156784
447.90; 169.90117; 23629.884282861
449.94; 172.2414; 23980.552907497
451.97; 174.34584; 24335.505982578
454.01; 176.19569; 24694.225196221
456.04; 177.86437; 25056.341702952
458.08; 179.4953; 25421.778650322
460.12; 181.25544; 25790.799073305
462.15; 183.27994; 26163.941206721
464.19; 185.62751; 26541.862792712
466.22; 188.26268; 26925.149368642
468.26; 191.07214; 27314.155755529
470.30; 193.90927; 27708.938297233
472.33; 196.64999; 28109.300712955
474.37; 199.23748; 28514.931023682
476.40; 201.69694; 28925.568580228
478.44; 204.11306; 29341.125145197
480.48; 206.57818; 29761.700493538
482.51; 209.13285; 30187.476936679
484.55; 211.72583; 30618.532455976
486.58; 214.21525; 31054.656221406
488.62; 216.4172; 31495.262960745
490.66; 218.18793; 31939.474765784
492.69; 219.5096; 32386.377367098
494.73; 220.54327; 32835.384440785
496.76; 221.62177; 33286.587238403
498.80; 223.17529; 33740.95286534
500.83; 225.60894; 34200.273204407
502.87; 229.17203; 34666.847685029
504.91; 233.86595; 35142.978584623
506.94; 239.42681; 35630.430903397
508.98; 245.39289; 36130.029658532
511.01; 251.2358; 36641.524074857
513.05; 256.50878; 37163.753816612
515.09; 260.95784; 37695.041454092
517.12; 264.55407; 38233.650706443
519.16; 267.43551; 38778.126314978
521.19; 269.78273; 39327.380676801
523.23; 271.68012; 39880.497949419
525.27; 273.02252; 40436.348243059
527.30; 273.51169; 40993.194442128
529.34; 272.75225; 41548.494483973
531.37; 270.4174; 42099.040981321
533.41; 266.42431; 42641.457888757
535.45; 261.05098; 43172.93514571
537.48; 254.94413; 43691.979388633
539.52; 249.00498; 44198.932045514
541.55; 244.18299; 44696.067535004
543.59; 241.2409; 45187.213196612
545.62; 240.56528; 45676.983342608
547.66; 242.08095; 46169.83926471
549.70; 245.29288; 46669.234396034
551.73; 249.43647; 47177.065523369
553.77; 253.6841; 47693.54444897
555.80; 257.34192; 48217.470395768
557.84; 259.98094; 48746.769160227
559.88; 261.47368; 49279.107005544
561.91; 261.94217; 49812.398654168
563.95; 261.65056; 50345.096618383
565.98; 260.88801; 50876.242088159
568.02; 259.88199; 51405.339398756
570.06; 258.76354; 51932.159628723
572.09; 257.58238; 52456.575127466
574.13; 256.35202; 52978.485714605
576.16; 255.09708; 53497.841357659
578.20; 253.88032; 54014.719769487
580.24; 252.79931; 54529.397339943
582.27; 251.95794; 55042.361953331
584.31; 251.42817; 55554.248010525
586.34; 251.22073; 56065.711730075
588.38; 251.2784; 56577.292858366
590.41; 251.49616; 57089.317337256
592.45; 251.7618; 57601.882635662
594.49; 252.00307; 58114.939131904
596.52; 252.22484; 58628.447142546
598.56; 252.52217; 59142.560479031
600.59; 253.06161; 59657.772069477
602.63; 254.03226; 60174.959818145
604.67; 255.57674; 60695.292004378
606.70; 257.71995; 61219.987577294
608.74; 260.31684; 61749.970188787
610.77; 263.03902; 62285.494935196
612.81; 265.41216; 62825.851196158
614.85; 266.90313; 63369.24293684
616.88; 267.04051; 63912.914370809
618.92; 265.53869; 64453.528220872
620.95; 262.38947; 64987.730528481
622.99; 257.88989; 65512.772095457
625.03; 252.59077; 66027.025109661
627.06; 247.17379; 66530.249606793
629.10; 242.28881; 67023.528710884
631.13; 238.39846; 67508.887406433
633.17; 235.67776; 67988.706993204
635.21; 234.00102; 68465.112883013
637.24; 233.02036; 68939.522225267
639.28; 232.30933; 69412.483962161
641.31; 231.52246; 69883.84370941
643.35; 230.51553; 70353.153428703
645.38; 229.38484; 70820.161161267
647.42; 228.41296; 71285.190232349
649.46; 227.94206; 71749.260586945
651.49; 228.22268; 72213.902258226
653.53; 229.29502; 72680.727128106
655.56; 230.94805; 73150.917428319
657.60; 232.77322; 73624.823617262
659.64; 234.29471; 74101.827425596
661.67; 235.12974; 74580.531286129
663.71; 235.12115; 75059.21764575
665.74; 234.3941; 75536.423813444
667.78; 233.31623; 76011.435517291
669.82; 232.37462; 76484.530195925
671.85; 232.01292; 76956.888473734
673.89; 232.48464; 77430.207142576
675.92; 233.77259; 77906.147962085
677.96; 235.59958; 78385.808383913
680.00; 237.52374; 78869.386221988
682.03; 239.08256; 79356.137689785
684.07; 239.93515; 79844.624953791
686.10; 239.95512; 80333.152863716
688.14; 239.24643; 80820.237954694
690.17; 238.08246; 81304.953305516
692.21; 236.79439; 81787.046254191
694.25; 235.65023; 82266.809776023
696.28; 234.76498; 82744.771013457
698.32; 234.06821; 83221.313692803
700.35; 233.33319; 83696.359936254
702.39; 232.25144; 84169.203831455
704.43; 230.5243; 84638.531417087
