#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
502.87; 9.0141079; 101124.24566301
504.91; 8.6375458; 101141.83096084
506.94; 8.1929787; 101158.51115848
508.98; 7.6977003; 101174.18301195
511.01; 7.2108418; 101188.86366359
513.05; 6.8068141; 101202.72174972
515.09; 6.5442939; 101216.04536729
517.12; 6.4425676; 101229.16187893
519.16; 6.4736559; 101242.34168359
521.19; 6.5722571; 101255.72223193
523.23; 6.6587577; 101269.27888802
525.27; 6.6659656; 101282.85021863
527.30; 6.559468; 101296.2047294
529.34; 6.3446534; 101309.12189621
531.37; 6.0590264; 101321.45755111
533.41; 5.7541808; 101333.17256655
535.45; 5.4754344; 101344.32007849
537.48; 5.2473782; 101355.00328763
539.52; 5.0705354; 101365.32646001
541.55; 4.9293563; 101375.36220399
543.59; 4.8069588; 101385.14875719
545.62; 4.699307; 101394.7161407
547.66; 4.6219441; 101404.12602003
549.70; 4.6057172; 101413.50286267
551.73; 4.6827683; 101423.0365747
553.77; 4.8684265; 101432.94827089
555.80; 5.1467404; 101443.42659027
557.84; 5.4663589; 101454.55562528
559.88; 5.7496668; 101466.26145073
561.91; 5.9129848; 101478.2997774
563.95; 5.8912424; 101490.29383847
565.98; 5.6585665; 101501.81419149
568.02; 5.2374723; 101512.47723302
570.06; 4.6933371; 101522.03246221
572.09; 4.1160363; 101530.41235689
574.13; 3.5950476; 101537.7315636
576.16; 3.1963339; 101544.23902349
578.20; 2.9482363; 101550.24137824
580.24; 2.8399934; 101556.02335975
582.27; 2.8318507; 101561.78876336
584.31; 2.8718687; 101567.63564017
586.34; 2.9128562; 101573.56596402
588.38; 2.923798; 101579.51856446
590.41; 2.8930693; 101585.40860388
592.45; 2.8242641; 101591.15856192
594.49; 2.7281294; 101596.71279794
596.52; 2.6149183; 101602.03654592
598.56; 2.4903651; 101607.1067143
600.59; 2.356174; 101611.90368118
602.63; 2.2135852; 101616.41034954
604.67; 2.0672816; 101620.6191564
606.70; 1.9271078; 101624.54258148
608.74; 1.8065204; 101628.22050117
610.77; 1.7185621; 101631.71934523
612.81; 1.6714944; 101635.12236367
614.85; 1.6664162; 101638.51504326
616.88; 1.6981791; 101641.97238933
618.92; 1.7592446; 101645.55405953
620.95; 1.8446149; 101649.30953621
